name,espn_code,espn_id,shark_code
Cardinals,ARI,60022,ARZ
Falcons,ATL,60001,ATL
Ravens,BAL,60033,BAL
Bills,BUF,60002,BUF
Panthers,CAR,60029,CAR
Bears,CHI,60003,CHI
Bengals,CIN,60004,CIN
Browns,CLE,60005,CLE
Cowboys,DAL,60006,DAL
Broncos,DEN,60007,DEN
Lions,DET,60008,DET
Packers,GB,60009,GBP
Texans,HOU,60034,HOU
Colts,IND,60011,IND
Jaguars,JAX,60030,JAC
Chiefs,KC,60012,KCC
Rams,LAR,60014,LAR
Dolphins,MIA,60015,MIA
Vikings,MIN,60016,MIN
Patriots,NE,60017,NEP
Saints,NO,60018,NOR
Giants,NYG,60019,NYG
Jets,NYJ,60020,NYJ
Raiders,OAK,60013,OAK
Eagles,PHI,60021,PHI
Steelers,PIT,60023,PIT
Chargers,LAC,60024,LAC
49ers,SF,60025,SFO
Seahawks,SEA,60026,SEA
Buccaneers,TB,60027,TBB
Titans,TEN,60010,TEN
Redskins,WSH,60028,WAS
